fecha,area_km2
2022-03-25,194.42042662817383
2022-04-11,189.28481223486327
2022-05-05,168.8747781619873
2022-05-13,176.68660918676758
2022-05-21,171.95249278961182
2022-05-28,47.99761724554443
2022-05-29,167.814652890625
2022-06-05,95.49175583996582
2022-06-06,154.80848975592042
2022-07-24,154.63834810040282
2022-07-31,53.678510876403806
2022-08-01,149.0170963083532
2022-08-17,152.44780988879396
2022-09-10,121.52963907177806
2022-09-25,155.26341707979665
2022-10-20,132.9675474634974
2022-10-27,146.02729093337763
2022-11-04,163.65001206390022
2022-11-29,140.4181240490687
2022-12-06,157.92744219434022
2022-12-14,118.01545882867862
2022-12-15,138.34736562255503
2022-12-22,137.561568436955
2022-12-30,141.02526796337534
2023-01-07,163.14650703008675
2023-01-15,164.4025512677002
2023-01-16,155.6065016036377
2023-02-16,145.6860011196289
2023-03-04,140.43029688256837
2023-03-05,112.68700733117676
2023-03-12,139.48182565380858
2023-03-21,125.8793094352417
2023-04-29,48.58481939592381
2023-04-30,113.79059233066933
2023-05-08,104.11578487408448
2023-05-15,109.32233037045924
2023-06-09,112.69280431228556
2023-06-16,117.93053501213952
2023-06-17,119.32514744946288
2023-06-24,111.12948306935604
2023-06-25,116.12243576755756
2023-07-03,116.538360611084
2023-07-11,115.1324734690516
2023-08-11,99.2115721883545
2023-08-28,80.37527642693733
2023-09-05,105.21574824395393
2023-09-12,104.11059811828254
2023-09-13,100.93831568133186
2023-09-20,101.99578529693244
2023-09-21,66.06123714355469
2023-09-28,74.93504551903938
2023-10-22,99.29547418212532
2023-11-07,94.77120151794074
2023-12-09,91.4214799371302
2023-12-10,96.6941999756434
2023-12-17,66.07216377672981
2023-12-18,64.77776204418586
2024-01-27,90.34233823883056
2024-02-03,84.89469562371826
2024-02-04,81.76830482733155
2024-02-20,83.4084954954834
2024-02-27,89.39909923480225
2024-03-14,78.48281062908936
2024-03-22,84.63077467437743
2024-03-30,79.31030290270996
2024-03-31,84.25268127929688
2024-04-08,74.7500069981079
2024-05-02,67.43563733782959
2024-05-09,82.40782331585693
2024-05-25,48.038483342693254
2024-05-26,80.38267197788612
2024-06-02,74.10569107242958
2024-06-03,79.15321002317421
2024-06-11,74.48093277215577
2024-06-26,137.3336288285216
2024-07-04,220.24303462564336
2024-07-05,214.36250110131837
2024-07-21,221.53325404613156
2024-08-05,226.81304462970783
2024-08-14,232.0168079327098
2024-08-21,234.43754832284628
2024-08-29,234.04434488902848
2024-08-30,233.71294980926825
2024-09-22,248.1113088499495
2024-09-30,260.6478313915334
2024-10-08,265.44856772997906
2024-10-09,263.66910464352907
2024-11-17,268.57254273441276
2024-11-18,273.93559092687195
2024-11-25,273.3921034987491
2024-12-12,224.8392368595459
2024-12-28,276.01759793728985
2025-01-04,278.4240695811332
2025-01-05,252.2289635567627
2025-03-01,277.0275265183484
2025-03-09,274.42728270039515
2025-03-10,274.11208234808515
2025-03-17,271.8566214846955
2025-03-18,272.60631018484963
2025-03-25,271.48715843300926
2025-04-03,268.6175412935133
2025-04-10,269.3759080504952
2025-04-11,268.58824631889456
2025-04-27,264.8317266876805
2025-05-13,262.6401164494572
2025-05-20,133.8870741730955
2025-07-16,237.43723027930767
2025-07-23,134.42733090902126
2025-07-24,262.07234507110167
2025-07-31,255.34245596397443
2025-08-01,254.60371797933615
2025-08-08,112.03254320321643
2025-08-09,263.3684747049831
2025-08-16,252.11829803234815
2025-08-17,262.13966671112087
